WT serotonin control 0.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,6291,e,,6291,39.21819397,6285,6302,19,1,6,,,6434,-1312.59105,24,6310,505.6994629,24,6452,-59.12618637,22,6291,39.21819305,19,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,unclassified,,0.5,0.5,0.5,1
,,6310,E,,6310,505.6994531,6303,6325,24,1,4,,,7567,-1016.525404,19,7465,544.0455322,19,7620,-64.01714325,20,7454,-40.10669327,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,pump,,0,0,1,2
,,6434,R,,6434,1312.59105,6421,6443,24,-1,3,,,9630,-1265.29353,11,9487,248.9003754,40,9651,-61.29503632,21,9447,40.2894249,31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,R,R,0,1,0,3
,,6452,r,,6452,59.12618688,6444,6464,22,-1,5,,,11073,-1433.704084,14,10932,466.9647217,28,11096,-64.33581543,22,10919,34.00291443,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,E,E,1,0,0,4
,,7454,e,,7454,40.10669278,7442,7459,19,-1,6,,,12711,-1362.178204,26,12576,518.9908447,24,12745,-56.32707977,18,12564,38.99205399,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,r2,r,1,1,0,5
,,7465,E,,7465,544.0455303,7460,7477,19,1,4,,,14424,-1223.180215,26,14336,357.0727539,27,14500,-45.69205093,26,14316,-25.76209641,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,e1,e,1,0,1,6
,,7567,R,,7567,1016.525404,7564,7581,19,-1,3,,,15034,-1636.353463,49,14749,479.6560364,38,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,IPSP,P,0,1,1,7
,,7620,r,,7620,64.01714238,7612,7630,20,-1,5,,,18034,-1205.954007,31,17929,581.4560547,26,18093,-55.18555832,27,17915,32.15164566,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EPSP,i,1,0.8,0,8
,,9447,e,,9447,40.28942402,9441,9470,31,1,6,,,18807,-1406.314256,25,18628,475.3188171,39,18822,-65.92733765,18,18597,29.58914566,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9487,E,,9487,248.9003698,9471,9509,40,1,4,,,20329,-1549.40484,44,19976,317.219635,29,0,0,0,19913,28.60037231,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9630,R,,9630,1265.29353,9625,9634,11,-1,3,,,22533,-1307.783267,36,22357,297.5865784,34,0,0,0,22312,35.08022308,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9651,r,,9651,61.29503654,9643,9662,21,-1,5,,,25774,-1388.185921,18,25655,196.1929626,42,25830,-53.32760239,31,25563,47.56745529,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10919,e,,10919,34.00291623,10906,10923,19,1,6,,,26428,-1721.48863,37,26090,558.4257813,25,0,0,0,26077,-48.88438797,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10932,E,,10932,466.9647299,10924,10950,28,1,4,,,29336,-1539.936616,9,29189,104.4729919,38,29368,-53.67666626,26,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11073,R,,11073,1433.704084,11065,11077,14,-1,3,,,29924,-1683.187934,52,29634,583.6367188,27,0,0,0,29618,-18.34472656,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11096,r,,11096,64.3358162,11085,11105,22,-1,5,,,31796,-1360.823378,22,31662,492.3502197,29,31834,-46.27158737,26,31644,41.61899948,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12564,e,,12564,38.99205411,12552,12569,19,1,6,,,33368,-1726.260489,45,33029,69.32432556,32,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12576,E,,12576,518.9908174,12570,12592,24,1,4,,,34748,-1907.546141,39,34438,236.1674805,35,0,0,0,34407,38.28743744,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12711,R,,12711,1362.178204,12703,12727,26,-1,3,,,37970,-1369.726681,26,37812,347.5410156,31,37989,-59.86096191,17,37782,69.13813019,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12745,r,,12745,56.32707963,12738,12754,18,-1,5,,,39787,-1632.90942,19,39578,334.6283569,27,39799,55.0075531,16,39566,39.10243607,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14316,e,,14316,25.76209632,14309,14326,19,-1,6,,,42556,-1319.810134,9,42404,127.2625961,36,42585,-49.22774887,26,42376,38.79445267,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14336,E,,14336,357.0727434,14327,14352,27,1,4,,,43158,-1544.301825,41,42843,501.7302856,21,0,0,0,42833,49.08773422,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14424,R,,14424,1223.180215,14418,14442,26,-1,3,,,45970,-1705.582096,17,45623,420.9205933,29,45981,-53.9152832,8,45600,30.97706795,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14500,r,,14500,45.69205052,14491,14515,26,-1,5,,,47822,-1932.139031,53,47517,155.8230133,39,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14749,E,,14749,479.6560351,14731,14767,38,1,4,,,49115,-1882.367289,35,48784,394.1007996,29,0,0,0,48704,26.75824928,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15034,R,,15034,1636.353463,15010,15057,49,-1,3,,,50796,-2025.093241,59,50490,206.8402252,36,0,0,0,50468,25.43105125,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17915,e,,17915,32.1516455,17903,17920,19,1,6,,,51785,-1900.961501,44,51479,404.6628418,31,0,0,0,51464,24.11252022,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17929,E,,17929,581.4560298,17921,17945,26,1,4,,,53048,-1953.641286,35,52732,570.1066284,25,0,0,0,52714,27.79273796,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18034,R,,18034,1205.954007,18028,18057,31,-1,3,,,54045,-1948.977088,39,53746,771.5631714,24,0,0,0,53734,43.4513588,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18093,r,,18093,55.1855574,18081,18106,27,-1,5,,,55058,-2008.590534,50,54770,281.2059631,32,0,0,0,54740,26.57661819,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18597,e,,18597,29.58914521,18588,18607,21,1,6,,,55660,-1621.844809,53,55392,734.7958984,37,0,0,0,55376,26.97847176,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18628,E,,18628,475.3188323,18609,18646,39,1,4,,,56421,-2011.642113,61,56142,681.5691528,34,0,0,0,56123,34.90602112,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18807,R,,18807,1406.314256,18790,18813,25,-1,3,,,57322,-2007.3548,56,57053,463.129364,25,0,0,0,57044,45.94286346,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18822,r,,18822,65.92733565,18814,18830,18,-1,5,,,58545,-1720.419772,51,58286,125.0512772,37,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19913,e,,19913,28.60037145,19906,19925,21,1,6,,,59176,-1933.81576,63,58937,497.6146851,28,0,0,0,58915,51.19079971,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19976,E,,19976,317.2196292,19966,19993,29,1,4,,,59914,-1758.386473,53,59668,803.0914307,27,0,0,0,59659,41.25471115,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20329,R,,20329,1549.40484,20307,20349,44,-1,3,,,61223,-1686.754598,56,60949,400.1122437,33,0,0,0,60936,52.90637589,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22312,e,,22312,35.08022425,22303,22318,17,1,6,,,62242,-2008.334333,63,61976,390.7412415,40,0,0,0,61954,21.45605659,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22357,E,,22357,297.5865748,22344,22376,34,1,4,,,63051,-2011.35513,78,62794,497.0385742,46,0,0,0,62758,33.82723999,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22533,R,,22533,1307.783267,22513,22547,36,-1,3,,,64086,-2078.981322,85,63822,389.8414917,33,0,0,0,63805,37.85332489,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25563,e,,25563,47.56745588,25554,25577,25,1,6,,,64833,-2052.410118,68,64588,341.59021,31,0,0,0,64574,36.49927139,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25655,E,,25655,196.1929603,25634,25674,42,1,4,,,66252,-2013.289732,58,65990,118.2173462,49,0,0,0,65962,17.24943542,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25774,R,,25774,1388.185921,25769,25785,18,-1,3,,,67370,-1771.003268,69,67112,208.2352905,32,0,0,0,67081,51.83001709,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25830,r,,25830,53.32760082,25809,25838,31,-1,5,,,68492,-1949.763198,60,68216,728.8640137,25,0,0,0,68205,43.01599884,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26077,e,,26077,48.88438982,26069,26083,16,-1,6,,,71363,-1511.209927,31,71185,365.6896973,28,71382,-64.52248383,16,71169,42.2232399,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26090,E,,26090,558.4257735,26084,26107,25,1,4,,,71737,-1391.249864,17,71543,682.2559204,24,71745,-34.47018433,5,71528,-47.62121582,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26428,R,,26428,1721.48863,26405,26440,37,-1,3,,,74385,-1715.153602,54,74165,739.7492065,32,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29189,E,,29189,104.4729943,29171,29207,38,1,4,,,74845,-1931.020652,60,74556,668.2054443,53,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29336,R,,29336,1539.936616,29332,29339,9,-1,3,,,75884,-2100.928417,89,75591,640.986145,32,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29368,r,,29368,53.67666622,29360,29384,26,-1,5,,,77265,-1762.329843,59,76964,547.7172852,28,0,0,0,76947,-81.88140106,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29618,e,,29618,18.34472668,29610,29621,13,-1,6,,,78540,-1935.884815,67,78241,347.3229065,34,0,0,0,78218,49.95577621,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29634,E,,29634,583.6367099,29622,29647,27,1,4,,,80237,-1950.519802,47,79908,620.40979,27,0,0,0,79893,56.07720947,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29924,R,,29924,1683.187934,29903,29953,52,-1,3,,,82958,-1954.545944,59,82645,270.0365295,31,0,0,0,82625,-39.46972275,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31644,e,,31644,41.61899891,31629,31653,26,1,6,,,84652,-1864.094851,47,84297,805.84021,29,0,0,0,84284,40.91670227,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31662,E,,31662,492.3502093,31654,31681,29,1,4,,,86135,-1707.414143,66,85805,397.0480042,34,0,0,0,85784,30.62232399,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31796,R,,31796,1360.823378,31788,31808,22,-1,3,,,87058,-2050.669718,79,86773,275.7144775,23,0,0,0,86760,-8.177459717,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31834,r,,31834,46.27158662,31821,31845,26,-1,5,,,87796,-2082.532162,60,87519,858.3320313,29,0,0,0,87499,31.35092735,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33029,E,,33029,69.3243241,33012,33042,32,1,4,,,88592,-1686.915678,49,88334,775.3157349,40,0,0,0,88316,20.12853241,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33368,R,,33368,1726.260489,33342,33385,45,-1,3,,,89341,-1723.926007,45,89088,570.9462891,31,0,0,0,89063,-9.38283062,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34407,e,,34407,38.28743697,34398,34421,25,1,6,,,89944,-1688.759218,34,89724,478.370575,48,0,0,0,89685,30.83744049,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34438,E,,34438,236.1674739,34422,34455,35,1,4,,,90504,-1479.618517,43,90282,366.7899475,43,0,0,0,90224,33.98671722,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34748,R,,34748,1907.546141,34725,34762,39,-1,3,,,91102,-1734.866252,51,90889,882.1074219,26,0,0,0,90875,40.59806061,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37782,e,,37782,69.13813062,37755,37793,40,1,6,,,91692,-1786.045058,35,91484,353.4125671,25,0,0,0,91474,32.5716095,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37812,E,,37812,347.5410214,37798,37827,31,1,4,,,92266,-1777.294769,58,92057,538.0125122,34,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37970,R,,37970,1369.726681,37954,37978,26,-1,3,,,92706,-1755.477478,26,92514,593.6704102,44,92717,65.58352661,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37989,r,,37989,59.86096077,37984,37999,17,-1,5,,,93211,-1709.100048,31,93018,673.7299805,24,93222,50.6625824,10,93001,31.41394043,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39451,e,,39451,31.50039258,39445,39461,18,1,6,,,93888,-1643.896304,22,93680,432.8396606,36,0,0,0,93636,26.93595314,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39483,e,,39483,45.21929163,39477,39497,22,1,6,,,93914,3.085888624,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39521,e,,39521,25.89354294,39511,39529,20,1,6,,,94449,-1674.278713,18,94258,528.3491821,31,94459,48.19155121,10,94245,17.96305275,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39566,e,,39566,39.10243442,39556,39570,16,1,6,,,95094,-1462.259135,21,94899,454.2427063,31,95105,61.91637421,16,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39578,E,,39578,334.6283679,39571,39596,27,1,4,,,95484,-1542.74009,15,95311,548.5354004,34,95497,-69.13219452,9,95288,35.8771286,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39787,R,,39787,1632.90942,39775,39792,19,-1,3,,,96013,-1535.790068,17,95829,574.7080688,31,96027,-81.84818268,13,95806,25.15163994,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39799,r,,39799,55.00755452,39793,39807,16,1,5,,,96392,-1698.878283,23,96221,690.9390869,23,96404,-55.94369125,7,96205,34.93626404,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42376,e,,42376,38.79445247,42361,42392,33,1,6,,,96985,-1760.564959,19,96807,233.3938293,35,97002,-96.41911316,25,96745,25.48779297,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42404,E,,42404,127.2625924,42394,42428,36,1,4,,,97334,-1742.608427,21,97163,542.2905884,25,97342,-35.52381516,5,97146,31.64100456,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42556,R,,42556,1319.810134,42551,42558,9,-1,3,,,97759,-1522.769598,20,97597,478.9514465,26,97782,-93.59152985,30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42585,r,,42585,49.22775011,42574,42598,26,-1,5,,,98085,-1667.865552,21,97925,560.710022,34,98099,-64.47081757,12,97913,-47.49182892,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42833,e,,42833,49.08773603,42823,42836,15,1,6,,,98566,-1797.603418,20,98406,277.4845581,28,98592,-70.11865997,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42843,E,,42843,501.730276,42837,42856,21,1,4,,,98901,-1453.846202,18,98745,548.7906494,28,98919,-68.13989258,12,98730,24.86970901,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43158,R,,43158,1544.301825,43132,43171,41,-1,3,,,99227,-1585.140022,27,99074,591.1794434,25,99243,-47.53353882,13,99054,33.01793289,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45600,e,,45600,30.97706858,45584,45610,28,1,6,,,99555,-1814.301484,31,99404,633.4553833,30,99576,-50.00091171,16,99388,24.9939785,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45623,E,,45623,420.9205868,45612,45639,29,1,4,,,99923,-1523.863663,31,99776,655.8877563,24,99949,-70.09340668,23,99759,34.0688324,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45970,R,,45970,1705.582096,45961,45976,17,-1,3,,,100402,-1584.275702,37,100252,457.6085205,28,100434,-82.86113739,27,100234,28.96062469,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45981,r,,45981,53.91528444,45977,45983,8,-1,5,,,100710,-1638.118768,18,100560,492.7913208,27,100728,-59.22871017,10,100542,102.7111206,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47517,E,,47517,155.8230108,47498,47535,39,1,4,,,101265,-1562.777138,16,101112,360.8215027,29,101296,-67.47418976,20,101088,36.66135788,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47822,R,,47822,1932.139031,47797,47848,53,-1,3,,,101608,-1542.492714,20,101457,691.5744019,32,101628,-73.06990814,21,101444,47.61774826,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48659,e,,48659,34.45055645,48652,48679,29,1,6,,,102065,-1496.72473,14,101914,518.5254517,32,102095,-75.44148254,24,101898,21.79149055,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48704,e,,48704,26.7582499,48694,48716,24,1,6,,,102448,-1774.206332,16,102294,627.3231201,31,102469,-66.15534973,18,102275,26.36262512,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48784,E,,48784,394.1008051,48775,48802,29,1,4,,,102775,-1679.514192,18,102627,641.529541,27,102795,-63.64974594,16,102618,67.8666153,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49115,R,,49115,1882.367289,49092,49125,35,-1,3,,,103092,-1452.883117,20,102947,557.1930542,20,103110,-47.26203918,15,102938,17.18008614,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50468,e,,50468,25.43105108,50457,50477,22,1,6,,,103413,-1488.927864,15,103271,571.534729,25,103435,-66.11711121,13,103253,45.78881836,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50490,E,,50490,206.8402195,50478,50512,36,1,4,,,103914,-1724.276273,22,103764,250.341629,34,103940,-66.7848053,17,103662,44.57620239,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50796,R,,50796,2025.093241,50767,50824,59,-1,3,,,104205,-1428.283357,22,104064,431.9389343,32,104226,-46.00386047,13,104046,57.9408989,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51424,e,,51424,48.73853699,51408,51437,31,1,6,,,104594,-1581.448113,30,104449,353.0400696,48,104621,-74.14228821,21,104397,-11.96111107,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
